2025-09-05 20:27:36,132 INFO    MainThread:1235770 [wandb_setup.py:_flush():80] Current SDK version is 0.21.0
2025-09-05 20:27:36,133 INFO    MainThread:1235770 [wandb_setup.py:_flush():80] Configure stats pid to 1235770
2025-09-05 20:27:36,133 INFO    MainThread:1235770 [wandb_setup.py:_flush():80] Loading settings from /home/user/.config/wandb/settings
2025-09-05 20:27:36,133 INFO    MainThread:1235770 [wandb_setup.py:_flush():80] Loading settings from /home/user/1024_whs/IVfusion_method1/model/stage1/wandb/settings
2025-09-05 20:27:36,133 INFO    MainThread:1235770 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-09-05 20:27:36,133 INFO    MainThread:1235770 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /home/user/1024_whs/IVfusion_method1/model/stage1/wandb/run-20250905_202736-ntmrgfzm/logs/debug.log
2025-09-05 20:27:36,133 INFO    MainThread:1235770 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /home/user/1024_whs/IVfusion_method1/model/stage1/wandb/run-20250905_202736-ntmrgfzm/logs/debug-internal.log
2025-09-05 20:27:36,133 INFO    MainThread:1235770 [wandb_init.py:init():830] calling init triggers
2025-09-05 20:27:36,133 INFO    MainThread:1235770 [wandb_init.py:init():835] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-09-05 20:27:36,133 INFO    MainThread:1235770 [wandb_init.py:init():871] starting backend
2025-09-05 20:27:36,341 INFO    MainThread:1235770 [wandb_init.py:init():874] sending inform_init request
2025-09-05 20:27:36,347 INFO    MainThread:1235770 [wandb_init.py:init():882] backend started and connected
2025-09-05 20:27:36,350 INFO    MainThread:1235770 [wandb_init.py:init():953] updated telemetry
2025-09-05 20:27:36,358 INFO    MainThread:1235770 [wandb_init.py:init():977] communicating run to backend with 90.0 second timeout
2025-09-05 20:27:37,644 INFO    MainThread:1235770 [wandb_init.py:init():1029] starting run threads in backend
2025-09-05 20:27:37,736 INFO    MainThread:1235770 [wandb_run.py:_console_start():2458] atexit reg
2025-09-05 20:27:37,736 INFO    MainThread:1235770 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-09-05 20:27:37,736 INFO    MainThread:1235770 [wandb_run.py:_redirect():2375] Wrapping output streams.
2025-09-05 20:27:37,736 INFO    MainThread:1235770 [wandb_run.py:_redirect():2398] Redirects installed.
2025-09-05 20:27:37,739 INFO    MainThread:1235770 [wandb_init.py:init():1075] run started, returning control to user process
2025-09-05 20:27:44,082 INFO    MsgRouterThr:1235770 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
